ticker,Pesos,Dolar,Cable,Dolar/Cable,MEP,CCL,MEP/CCL
GD38,29374.5,34.0,34.5,↓-1.45%,863.96,851.43,↑1.47%
GD30,26800.0,29.81,31.0,↓-3.84%,899.03,864.52,↑3.99%
GD41,25925.0,29.3,29.0,↑1.03%,884.81,893.97,↓-1.02%
GD29,25940.0,29.5,26.75,↑10.28%,879.32,969.72,↓-9.32%
GD35,24750.0,27.3,27.0,↑1.11%,906.59,916.67,↓-1.10%
