id,diferencia,dq,indice,md,paridad,pq,precio,qp,ticker,tir,ttir,uptir,volumen,vt
61,0.0051,54,USS,5.04,0.29100000000000004,1.8,29.5,0.06,GD41D,23.8%,0.106,1.104,0.0,101.3
62,,54,USS,1.86,0.272,0.5,27.25,0.02,AL29C,59.6%,0.094,1.847,0.0,100.4
63,0.0248,54,USS,1.87,0.268,0.4,26.85,0.01,AL30C,56.5%,0.094,1.8090000000000002,0.8,100.3
64,,54,USS,3.8,0.282,2.1,28.6,0.07,AE38C,31.4%,0.102,1.56,0.0,101.6
65,,54,USS,4.7,0.252,1.8,25.5,0.07,AL35C,28.9%,0.105,1.6440000000000001,0.0,101.3
66,0.17120000000000002,54,USS,5.32,0.321,1.8,32.5,0.05,AL41C,21.8%,0.106,0.9009999999999999,0.0,101.3
67,,54,USS,1.84,0.267,0.5,26.75,0.02,GD29C,60.9%,0.094,1.901,0.0,100.4
68,0.0644,54,USS,2.13,0.32799999999999996,0.4,32.89,0.01,GD30C,44.3%,0.095,1.2819999999999998,0.2,100.3
69,0.0761,54,USS,3.54,0.28800000000000003,1.8,29.15,0.06,GD46C,28.8%,0.10099999999999999,1.315,0.0,101.3
70,0.059500000000000004,54,USS,4.25,0.34,2.1,34.5,0.06,GD38C,26.2%,0.10400000000000001,1.1059999999999999,0.0,101.6
71,,54,USS,4.84,0.266,1.8,27.0,0.07,GD35C,27.6%,0.105,1.4909999999999999,0.0,101.3
72,,54,USS,4.99,0.28600000000000003,1.8,29.0,0.06,GD41C,24.2%,0.106,1.1420000000000001,0.0,101.3
73,,54,USS,1.86,0.272,0.5,27.25,0.02,AL29C,59.6%,0.094,1.847,0.0,100.4
74,0.0248,54,USS,1.87,0.268,0.4,26.85,0.01,AL30C,56.5%,0.094,1.8090000000000002,0.8,100.3
75,,54,USS,3.8,0.282,2.1,28.6,0.07,AE38C,31.4%,0.102,1.56,0.0,101.6
76,,54,USS,4.7,0.252,1.8,25.5,0.07,AL35C,28.9%,0.105,1.6440000000000001,0.0,101.3
77,0.17120000000000002,54,USS,5.32,0.321,1.8,32.5,0.05,AL41C,21.8%,0.106,0.9009999999999999,0.0,101.3
78,,54,USS,1.84,0.267,0.5,26.75,0.02,GD29C,60.9%,0.094,1.901,0.0,100.4
79,0.0644,54,USS,2.13,0.32799999999999996,0.4,32.89,0.01,GD30C,44.3%,0.095,1.2819999999999998,0.2,100.3
80,0.0761,54,USS,3.54,0.28800000000000003,1.8,29.15,0.06,GD46C,28.8%,0.10099999999999999,1.315,0.0,101.3
81,0.059500000000000004,54,USS,4.25,0.34,2.1,34.5,0.06,GD38C,26.2%,0.10400000000000001,1.1059999999999999,0.0,101.6
82,,54,USS,4.84,0.266,1.8,27.0,0.07,GD35C,27.6%,0.105,1.4909999999999999,0.0,101.3
83,,54,USS,4.99,0.28600000000000003,1.8,29.0,0.06,GD41C,24.2%,0.106,1.1420000000000001,0.0,101.3
84,0.0089,7,CER,0.0,0.9990000000000001,-,159.11,,X23N3,3856.0%,,,4304.3,159.2
85,0.0229,63,CER,0.17,1.013,-,133.9,,X18E4,-7.6%,,,719.6,132.2
86,0.0116,104,CER,0.4,1.124,-,43500.0,,TDF24,-33.1%,,,5.4,38707.5
87,0.0202,166,CER,0.61,1.169,-,45400.0,,TDA24,-27.5%,,,2.6,38850.0
88,0.0127,288,CER,0.9,1.1520000000000001,-,43850.0,,TDG24,-14.0%,,,8.6,38071.7
